low_p,large_p,low_less,high_less,max_title,replace_title,win_rate,old_wins,new_wins,draws
0,4,0,4,3,4,56.99999999999999,38,57,4
2,4,2,4,4,5,56.99999999999999,32,57,5
3,7,0,1,3,4,56.00000000000001,40,56,3
0,3,0,3,3,5,55.00000000000001,40,55,5
2,3,0,1,3,4,55.00000000000001,39,55,5
2,8,2,3,4,5,55.00000000000001,40,55,3
3,6,0,1,3,5,55.00000000000001,37,55,5
5,9,1,4,3,4,55.00000000000001,42,55,1
0,2,2,3,3,5,54.0,37,54,6
0,5,1,2,3,4,54.0,39,54,4
1,7,0,1,4,5,54.0,34,54,9
0,8,1,5,3,4,53.0,42,53,3
1,4,3,4,4,5,53.0,43,53,3
3,7,1,2,4,5,53.0,41,53,3
0,1,1,4,3,4,52.0,45,52,3
0,4,2,4,3,4,52.0,39,52,6
1,7,0,3,3,5,52.0,36,52,6
1,9,0,5,4,5,52.0,40,52,6
1,9,1,3,4,5,52.0,45,52,2
0,2,0,1,3,5,51.0,40,51,6
0,5,3,5,3,5,51.0,43,51,4
1,3,1,3,3,4,51.0,41,51,5
1,9,0,3,4,5,51.0,47,51,0
1,9,1,2,3,4,51.0,47,51,2
2,4,3,4,4,5,51.0,44,51,4
2,7,1,2,3,5,51.0,43,51,6
2,8,0,1,3,4,51.0,46,51,2
4,7,0,3,4,5,51.0,45,51,3
5,9,1,3,3,5,51.0,43,51,3
0,1,1,2,4,5,50.0,44,50,4
0,2,2,3,4,5,50.0,42,50,6
0,3,3,5,3,4,50.0,44,50,6
0,5,0,5,3,5,50.0,42,50,5
0,6,1,2,4,5,50.0,45,50,4
0,7,0,1,3,4,50.0,48,50,1
0,9,0,2,3,4,50.0,46,50,3
1,3,0,1,3,5,50.0,49,50,0
1,4,1,2,3,4,50.0,47,50,1
1,5,1,2,4,5,50.0,44,50,4
1,6,2,4,3,4,50.0,44,50,4
1,7,0,1,3,5,50.0,46,50,3
1,7,0,3,4,5,50.0,45,50,3
2,3,1,2,4,5,50.0,47,50,1
2,7,1,2,4,5,50.0,46,50,1
2,7,2,3,4,5,50.0,45,50,5
4,5,0,2,4,5,50.0,47,50,0
4,9,0,1,3,4,50.0,43,50,5
5,8,2,3,3,5,50.0,47,50,3
5,9,0,1,3,4,50.0,47,50,3
0,1,3,4,3,5,49.0,43,49,5
0,4,0,5,3,4,49.0,42,49,5
0,6,0,2,3,5,49.0,44,49,4
0,7,0,3,2,3,49.0,49,49,2
0,8,2,5,3,5,49.0,47,49,2
0,8,3,4,3,5,49.0,47,49,3
0,9,3,4,4,5,49.0,44,49,2
0,9,3,5,3,5,49.0,47,49,3
1,2,0,1,3,4,49.0,40,49,8
1,2,3,4,4,5,49.0,46,49,3
1,3,0,3,3,5,49.0,41,49,5
1,5,0,2,4,5,49.0,49,49,1
1,6,1,3,4,5,49.0,44,49,6
1,9,0,4,3,4,49.0,44,49,3
1,9,3,4,4,5,49.0,44,49,4
2,3,1,2,3,4,49.0,50,49,1
2,4,0,2,2,4,49.0,47,49,1
2,5,1,2,3,4,49.0,46,49,2
3,6,0,1,3,4,49.0,44,49,5
3,7,0,2,4,5,49.0,46,49,4
3,8,0,1,3,4,49.0,47,49,4
4,6,0,1,4,5,49.0,48,49,3
4,7,0,2,4,5,49.0,43,49,6
5,6,2,4,4,5,49.0,45,49,4
0,1,0,1,4,5,48.0,46,48,2
0,1,1,4,2,4,48.0,46,48,4
0,2,1,4,4,5,48.0,49,48,1
0,2,2,3,3,4,48.0,44,48,5
0,2,2,4,4,5,48.0,46,48,3
0,5,0,4,4,5,48.0,49,48,2
0,5,2,3,3,5,48.0,46,48,4
0,6,0,1,2,3,48.0,48,48,3
0,7,0,1,4,5,48.0,48,48,3
0,7,1,2,3,5,48.0,50,48,0
0,8,0,2,3,5,48.0,43,48,8
0,8,0,3,3,5,48.0,47,48,3
0,8,0,4,3,5,48.0,46,48,3
0,8,2,4,4,5,48.0,42,48,7
0,8,2,5,2,3,48.0,46,48,3
0,9,1,4,3,4,48.0,45,48,3
0,9,3,5,3,4,48.0,47,48,3
1,2,0,3,3,5,48.0,46,48,5
1,2,0,4,3,4,48.0,40,48,7
1,3,0,2,3,5,48.0,43,48,6
1,4,0,3,4,5,48.0,47,48,4
1,5,0,5,3,5,48.0,48,48,3
1,7,1,2,3,4,48.0,46,48,4
1,8,0,1,3,4,48.0,45,48,7
1,9,0,2,4,5,48.0,44,48,3
2,4,0,1,3,4,48.0,44,48,4
2,6,0,1,3,4,48.0,48,48,1
2,6,0,2,4,5,48.0,45,48,4
2,6,1,3,3,4,48.0,51,48,1
2,7,0,3,2,4,48.0,50,48,1
2,7,1,3,4,5,48.0,46,48,5
2,8,0,2,3,5,48.0,42,48,5
2,9,1,2,3,4,48.0,46,48,4
2,9,1,2,4,5,48.0,49,48,1
2,9,2,5,4,5,48.0,46,48,6
3,6,2,3,3,4,48.0,45,48,7
3,8,0,1,3,5,48.0,48,48,3
3,9,0,1,3,5,48.0,47,48,4
3,9,2,4,3,4,48.0,46,48,5
4,6,1,2,3,4,48.0,49,48,1
4,8,0,2,3,5,48.0,47,48,3
5,6,1,2,3,5,48.0,48,48,2
5,7,1,2,3,5,48.0,48,48,3
5,9,0,1,3,5,48.0,51,48,1
0,1,1,2,3,4,47.0,49,47,3
0,1,1,4,3,5,47.0,45,47,2
0,1,2,3,3,5,47.0,47,47,2
0,1,2,3,4,5,47.0,48,47,1
0,1,3,4,3,4,47.0,49,47,3
0,1,4,5,4,5,47.0,47,47,6
0,2,0,3,3,4,47.0,47,47,3
0,2,0,5,2,4,47.0,40,47,7
0,2,0,5,4,5,47.0,50,47,2
0,2,1,4,3,5,47.0,47,47,6
0,3,0,1,4,5,47.0,49,47,3
0,3,1,5,3,4,47.0,47,47,5
0,3,2,5,3,4,47.0,49,47,1
0,4,0,2,4,5,47.0,50,47,1
0,4,1,5,3,5,47.0,45,47,2
0,6,0,1,4,5,47.0,48,47,1
0,6,0,2,3,4,47.0,49,47,2
0,6,2,4,3,5,47.0,44,47,4
0,7,0,4,3,4,47.0,51,47,1
0,7,1,2,3,4,47.0,49,47,3
0,7,1,4,2,3,47.0,47,47,2
0,8,1,4,3,5,47.0,49,47,1
0,8,2,3,4,5,47.0,49,47,4
0,9,1,2,4,5,47.0,49,47,4
0,9,2,3,3,5,47.0,49,47,3
0,9,2,5,3,5,47.0,44,47,7
1,3,0,1,4,5,47.0,46,47,4
1,3,1,4,2,5,47.0,45,47,5
1,5,1,2,3,5,47.0,45,47,5
1,6,0,3,3,5,47.0,49,47,3
1,6,1,5,3,4,47.0,48,47,3
1,6,2,3,3,4,47.0,46,47,4
1,7,2,4,3,4,47.0,46,47,5
1,7,4,5,4,5,47.0,46,47,5
1,8,1,2,3,5,47.0,48,47,4
1,9,0,2,3,5,47.0,49,47,2
1,9,1,2,2,3,47.0,47,47,3
2,3,0,1,2,4,47.0,48,47,2
2,3,0,3,3,4,47.0,48,47,4
2,3,0,5,4,5,47.0,47,47,3
2,4,0,1,2,3,47.0,47,47,4
2,4,0,1,3,5,47.0,48,47,4
2,4,0,1,4,5,47.0,49,47,2
2,4,1,2,3,5,47.0,48,47,2
2,4,1,4,4,5,47.0,46,47,6
2,6,1,2,2,5,47.0,52,47,0
2,6,2,3,3,5,47.0,47,47,3
2,8,1,5,4,5,47.0,44,47,4
2,8,2,4,4,5,47.0,49,47,2
3,4,1,2,3,4,47.0,49,47,2
3,5,1,4,4,5,47.0,49,47,3
3,5,2,4,4,5,47.0,49,47,3
3,6,3,4,4,5,47.0,44,47,5
3,7,1,4,3,5,47.0,48,47,4
3,9,0,1,4,5,47.0,49,47,3
3,9,0,2,3,4,47.0,48,47,1
3,9,2,4,4,5,47.0,49,47,4
5,6,0,2,3,4,47.0,51,47,1
5,8,0,2,3,5,47.0,49,47,3
0,1,0,2,4,5,46.0,44,46,6
0,1,0,3,3,5,46.0,49,46,1
0,1,0,5,3,5,46.0,49,46,3
0,1,1,5,2,4,46.0,46,46,3
0,1,1,5,4,5,46.0,45,46,7
0,1,3,4,4,5,46.0,44,46,8
0,2,0,4,2,3,46.0,51,46,3
0,2,3,4,3,4,46.0,49,46,3
0,3,0,3,3,4,46.0,47,46,6
0,3,1,4,3,4,46.0,49,46,3
0,3,1,5,2,3,46.0,46,46,2
0,3,2,3,3,5,46.0,49,46,3
0,3,4,5,3,4,46.0,45,46,4
0,4,0,3,3,5,46.0,49,46,0
0,5,0,1,3,5,46.0,43,46,8
0,5,0,5,4,5,46.0,47,46,3
0,5,1,3,4,5,46.0,46,46,7
0,5,1,5,3,4,46.0,46,46,4
0,6,0,3,3,4,46.0,50,46,2
0,6,0,3,3,5,46.0,51,46,3
0,6,0,4,4,5,46.0,47,46,7
0,6,0,5,4,5,46.0,46,46,4
0,6,2,5,3,4,46.0,53,46,1
0,6,3,5,3,5,46.0,49,46,5
0,7,0,3,3,4,46.0,51,46,3
0,7,0,5,4,5,46.0,46,46,5
0,8,0,1,3,4,46.0,50,46,2
0,8,1,2,4,5,46.0,47,46,3
0,9,0,3,2,3,46.0,46,46,5
0,9,1,2,3,4,46.0,47,46,5
1,2,1,3,3,4,46.0,47,46,4
